Model,Accuracy,Precision,Recall,F1 Score
Zero-Shot,0.3598099621408953,0.7842165895859535,0.3598099621408953,0.4854944203120602
Fine-Tuned,0.9441763788879816,0.944726401331474,0.9441763788879816,0.9442583244134678
