Model,Exact Match (EM),BLEU,METEOR,ROUGE-1,ROUGE-2,ROUGE-L,F1
Zero-shot,0.90,0.0824838608,0.4002828852,0.4144738029,0.3713187815,0.4143814001,3.71
Fine-tuned,0.95,0.4494106089,0.4278987724,0.5170069249,0.3576785714,0.5170885547,4.51

